epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5400.36,0.93396,0.54758,1.18555,0.98876,0.44389,0.48812,0.30895,1.38323,0.51913,1.70552,0.000990365,0.000990365,0.000990365
43,5483.68,0.9301,0.55162,1.18078,0.98756,0.43878,0.48242,0.30519,1.4181,0.57625,1.79072,0.000973861,0.000973861,0.000973861
44,5561.17,0.91956,0.52565,1.17542,0.96051,0.47603,0.49047,0.30867,1.44301,0.55501,1.72712,0.000957358,0.000957358,0.000957358
45,5642.11,0.90085,0.54042,1.17174,0.98934,0.4683,0.48417,0.30331,1.45845,0.58001,1.78133,0.000940855,0.000940855,0.000940855
46,5726.47,0.92086,0.52558,1.17817,0.97852,0.45462,0.48371,0.31433,1.38872,0.4909,1.69018,0.000924352,0.000924352,0.000924352
47,5808.61,0.90331,0.53332,1.16885,0.4769,0.47959,0.48474,0.3257,1.35013,0.46283,1.73222,0.000907848,0.000907848,0.000907848
48,5893.56,0.86921,0.50327,1.15152,0.98824,0.42371,0.48605,0.30981,1.38631,0.55048,1.73736,0.000891345,0.000891345,0.000891345
49,5977.4,0.88605,0.51953,1.15732,0.98681,0.5,0.4965,0.30224,1.47024,0.51204,1.73858,0.000874842,0.000874842,0.000874842
50,6051.74,0.87144,0.50585,1.1592,0.97838,0.47959,0.49131,0.31452,1.46686,0.46657,1.81628,0.000858338,0.000858338,0.000858338
51,6131.84,0.8809,0.51,1.15242,0.97956,0.47886,0.49133,0.30354,1.49145,0.52806,1.78678,0.000841835,0.000841835,0.000841835
52,6231.87,0.87383,0.51658,1.15092,0.97052,0.48857,0.49312,0.31067,1.42566,0.54844,1.70696,0.000825332,0.000825332,0.000825332
53,6314.11,0.8455,0.49403,1.13202,0.95689,0.46939,0.48984,0.32433,1.35953,0.50632,1.70565,0.000808828,0.000808828,0.000808828
54,6401.53,0.83985,0.4951,1.13439,0.98935,0.46888,0.49099,0.31527,1.40022,0.49632,1.77945,0.000792325,0.000792325,0.000792325
55,6483.02,0.8647,0.50741,1.14171,0.97956,0.47877,0.48957,0.30262,1.47337,0.51797,1.82002,0.000775822,0.000775822,0.000775822
56,6551.98,0.84115,0.48729,1.12762,0.98998,0.49914,0.4969,0.30624,1.43698,0.49247,1.76217,0.000759318,0.000759318,0.000759318
57,6637.26,0.83939,0.47439,1.12058,0.97056,0.4898,0.48955,0.31405,1.3832,0.51594,1.7416,0.000742815,0.000742815,0.000742815
58,6724.54,0.81602,0.48326,1.11897,0.9772,0.46939,0.48188,0.30445,1.46626,0.53596,1.77534,0.000726312,0.000726312,0.000726312
59,6807.65,0.81793,0.47621,1.11746,0.96922,0.46671,0.48466,0.29333,1.53035,0.52904,1.86719,0.000709809,0.000709809,0.000709809
60,6895.29,0.81028,0.47157,1.11654,0.45988,0.4679,0.47786,0.29332,1.52122,0.49768,1.87806,0.000693305,0.000693305,0.000693305
61,6978.2,0.81451,0.46118,1.12106,0.97811,0.47959,0.48718,0.31642,1.47845,0.50155,1.80005,0.000676802,0.000676802,0.000676802
62,7045.45,0.79442,0.45375,1.10296,0.97958,0.4793,0.4949,0.32103,1.37793,0.50575,1.77789,0.000660299,0.000660299,0.000660299
63,7126.29,0.78558,0.45555,1.10805,0.98762,0.46939,0.49322,0.31336,1.44667,0.52021,1.81993,0.000643795,0.000643795,0.000643795
64,7226.18,0.79364,0.46482,1.10988,0.97033,0.4853,0.48985,0.30257,1.52076,0.54468,1.93022,0.000627292,0.000627292,0.000627292
65,7309.19,0.7713,0.44904,1.08917,0.97885,0.47959,0.48433,0.31231,1.47427,0.48486,1.85385,0.000610789,0.000610789,0.000610789
66,7393.72,0.77554,0.44995,1.09434,0.97779,0.46939,0.48145,0.31208,1.45495,0.50857,1.82763,0.000594286,0.000594286,0.000594286
67,7476.72,0.78952,0.45335,1.09917,0.9888,0.4898,0.49421,0.31495,1.47648,0.45625,1.91243,0.000577782,0.000577782,0.000577782
68,7541.21,0.77434,0.45525,1.09388,0.97761,0.47959,0.49295,0.30105,1.48154,0.51137,1.87488,0.000561279,0.000561279,0.000561279
69,7622.65,0.75245,0.43911,1.07998,0.98908,0.45723,0.48049,0.31028,1.45259,0.50376,1.87024,0.000544776,0.000544776,0.000544776
70,7709.35,0.74228,0.42746,1.07894,0.46965,0.47382,0.47935,0.30752,1.48827,0.49488,1.94923,0.000528272,0.000528272,0.000528272
71,7790.26,0.74162,0.43502,1.08338,0.97956,0.47895,0.48838,0.31734,1.46128,0.48341,1.91117,0.000511769,0.000511769,0.000511769
72,7875.17,0.73681,0.42186,1.07126,0.45983,0.46722,0.48434,0.31803,1.43044,0.49346,1.86829,0.000495266,0.000495266,0.000495266
73,7956.97,0.73941,0.4235,1.07706,0.95937,0.46939,0.47888,0.319,1.40372,0.482,1.82555,0.000478762,0.000478762,0.000478762
74,8032.12,0.7197,0.41775,1.06715,0.98971,0.4898,0.49144,0.32214,1.41284,0.46579,1.8563,0.000462259,0.000462259,0.000462259
75,8113.31,0.71382,0.40857,1.06609,0.98919,0.4898,0.49011,0.31294,1.44978,0.47214,1.87814,0.000445756,0.000445756,0.000445756
76,8196.85,0.70935,0.41781,1.06419,0.9787,0.46939,0.4828,0.30457,1.45878,0.46855,1.8875,0.000429253,0.000429253,0.000429253
77,8280.22,0.71601,0.41914,1.06986,0.47955,0.47853,0.48099,0.29553,1.52281,0.51933,1.98248,0.000412749,0.000412749,0.000412749
78,8365.62,0.71397,0.41423,1.06859,0.98956,0.47861,0.48351,0.30378,1.494,0.4942,1.89666,0.000396246,0.000396246,0.000396246
79,8448.38,0.70935,0.40783,1.05649,0.47913,0.46858,0.47952,0.30482,1.49019,0.52139,1.93193,0.000379743,0.000379743,0.000379743
80,8526.84,0.70053,0.40196,1.0594,0.96994,0.47856,0.48881,0.30023,1.48599,0.52327,1.90807,0.000363239,0.000363239,0.000363239
81,8608.46,0.71119,0.40851,1.06059,0.97795,0.46939,0.48771,0.3157,1.43184,0.46711,1.83797,0.000346736,0.000346736,0.000346736
82,8693.59,0.69003,0.40256,1.05473,0.97832,0.46939,0.48049,0.31223,1.47501,0.48228,1.8716,0.000330233,0.000330233,0.000330233
83,8774.89,0.68976,0.39712,1.06563,0.9786,0.46939,0.48331,0.31783,1.44934,0.46263,1.86238,0.000313729,0.000313729,0.000313729
84,8859.9,0.67632,0.3899,1.05633,0.96926,0.46731,0.48645,0.31628,1.44896,0.46932,1.86406,0.000297226,0.000297226,0.000297226
85,8943.34,0.67713,0.39178,1.05845,0.9882,0.46939,0.48192,0.31299,1.44696,0.46136,1.90745,0.000280723,0.000280723,0.000280723
86,9163.62,0.66813,0.37605,1.03587,0.97879,0.46939,0.47595,0.31035,1.49173,0.47121,1.93054,0.00026422,0.00026422,0.00026422
87,9255.59,0.67463,0.38805,1.04639,0.47886,0.46939,0.47603,0.30893,1.46612,0.46758,1.89368,0.000247716,0.000247716,0.000247716
88,9345.59,0.65029,0.37201,1.03184,0.46935,0.46883,0.4755,0.30704,1.47996,0.49777,1.89842,0.000231213,0.000231213,0.000231213
89,9482.14,0.65991,0.38645,1.03488,0.47952,0.47792,0.48274,0.30993,1.44678,0.49651,1.85681,0.00021471,0.00021471,0.00021471
90,9583.75,0.65834,0.37257,1.03852,0.47955,0.47849,0.48439,0.31131,1.45264,0.49215,1.86652,0.000198206,0.000198206,0.000198206
91,9720.85,0.55236,0.25023,0.98617,0.98889,0.47959,0.48281,0.30011,1.47633,0.46759,1.90075,0.000181703,0.000181703,0.000181703
92,9833.38,0.54204,0.23924,0.98917,0.97957,0.47896,0.47876,0.30446,1.4542,0.45259,1.88157,0.0001652,0.0001652,0.0001652
93,9907.22,0.53034,0.23337,0.97196,0.97956,0.47877,0.48695,0.31337,1.43862,0.47465,1.87368,0.000148696,0.000148696,0.000148696
94,9979.69,0.5177,0.22795,0.97398,0.97841,0.46939,0.48209,0.3133,1.42654,0.47201,1.85339,0.000132193,0.000132193,0.000132193
95,10055.6,0.51293,0.22765,0.96444,0.97838,0.47959,0.48699,0.31528,1.40369,0.4866,1.81527,0.00011569,0.00011569,0.00011569
96,10127.4,0.50806,0.22392,0.95692,0.47996,0.48884,0.48756,0.31924,1.42455,0.47174,1.87916,9.91865e-05,9.91865e-05,9.91865e-05
97,10197.2,0.49356,0.2218,0.95576,0.46994,0.47863,0.48511,0.3131,1.41011,0.47297,1.84295,8.26832e-05,8.26832e-05,8.26832e-05
98,10266.2,0.49232,0.22174,0.96071,0.47029,0.48464,0.48634,0.31425,1.43572,0.48951,1.87097,6.61799e-05,6.61799e-05,6.61799e-05
99,10334.7,0.48999,0.22233,0.95609,0.46996,0.47893,0.48557,0.3141,1.42354,0.47158,1.87591,4.96766e-05,4.96766e-05,4.96766e-05
100,10383.1,0.49062,0.21953,0.95504,0.46994,0.47856,0.4801,0.31201,1.4425,0.48128,1.8893,3.31733e-05,3.31733e-05,3.31733e-05
