epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,236.995,1.1866,1.48837,1.66282,0.9801,0.48985,0.63011,0.40889,1.33102,0.6606,1.93778,0.0033223,0.0033223,0.0033223
2,656.661,1.11573,0.81047,1.56128,0.73387,0.87056,0.86324,0.66045,1.15606,0.54466,1.79585,0.0066117,0.0066117,0.0066117
3,1024.88,1.16353,0.84673,1.59833,0.88128,0.33422,0.35726,0.17438,1.66532,3.57025,2.53329,0.00985711,0.00985711,0.00985711
4,1382.5,1.21111,0.87606,1.6291,0.97191,0.43655,0.48794,0.29458,1.34951,0.70131,2.05621,0.009802,0.009802,0.009802
5,1819.8,1.17143,0.82781,1.58756,0.49046,0.82318,0.52842,0.32386,1.26561,0.59368,1.91547,0.009736,0.009736,0.009736
6,2176.9,1.12367,0.78728,1.54878,0.98973,0.48418,0.53423,0.36148,1.1697,0.57809,1.79717,0.00967,0.00967,0.00967
7,2527.67,1.10221,0.76021,1.53472,0.54783,0.65651,0.56767,0.36807,1.26743,0.53876,1.9515,0.009604,0.009604,0.009604
8,2888.03,1.07914,0.74243,1.51484,0.63646,0.65398,0.57567,0.40492,1.15801,0.48994,1.81195,0.009538,0.009538,0.009538
9,3040.61,1.06218,0.72285,1.50069,0.51278,0.65905,0.59026,0.42214,1.19043,0.48918,1.79236,0.009472,0.009472,0.009472
10,3170.54,1.05247,0.70746,1.49872,0.46325,0.48731,0.54623,0.38021,1.15104,0.4857,1.77275,0.009406,0.009406,0.009406
11,3320.05,1.03369,0.68899,1.47686,0.6369,0.65956,0.60691,0.44946,1.06784,0.47053,1.69323,0.00934,0.00934,0.00934
12,3529.71,1.02346,0.66931,1.47134,0.5766,0.65905,0.71161,0.50791,1.15939,0.47256,1.7868,0.009274,0.009274,0.009274
13,3812.85,1.01627,0.67104,1.46852,0.5653,0.65508,0.5486,0.39009,1.0849,0.45015,1.70646,0.009208,0.009208,0.009208
