epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1874.39,1.17534,0.96183,1.48058,0.90558,0.93878,0.97576,0.63602,1.31659,0.71275,1.69251,0.0015941,0.0015941,0.0015941
43,1916.44,1.18528,0.96187,1.50362,0.89604,0.87958,0.93936,0.60714,1.32448,0.81134,1.67447,0.0015842,0.0015842,0.0015842
44,1962.76,1.17742,0.93305,1.49261,0.8841,0.93415,0.9601,0.60751,1.26918,0.73748,1.69368,0.0015743,0.0015743,0.0015743
45,2005.07,1.1709,0.9343,1.48491,0.90528,0.93878,0.97077,0.60942,1.29375,0.71424,1.72709,0.0015644,0.0015644,0.0015644
46,2050.2,1.15779,0.9279,1.47219,0.82238,0.945,0.95034,0.59609,1.36854,0.7532,1.76807,0.0015545,0.0015545,0.0015545
47,2093.52,1.17795,0.95935,1.4971,0.93691,0.95918,0.96926,0.59921,1.36599,0.72684,1.7895,0.0015446,0.0015446,0.0015446
48,2137.37,1.15046,0.93582,1.4755,0.86407,0.91837,0.95436,0.59652,1.34419,0.73775,1.72521,0.0015347,0.0015347,0.0015347
49,2181.13,1.15442,0.91839,1.47123,0.93575,0.89179,0.97518,0.60584,1.37889,0.69804,1.78565,0.0015248,0.0015248,0.0015248
50,2223.39,1.14892,0.91786,1.46566,0.91875,0.92321,0.98399,0.65241,1.28213,0.64858,1.69578,0.0015149,0.0015149,0.0015149
51,2268.91,1.11927,0.86398,1.44361,0.87967,0.89521,0.92244,0.5527,1.42514,0.84185,1.8759,0.001505,0.001505,0.001505
52,2310.74,1.1316,0.889,1.45192,0.8807,0.93878,0.95557,0.58,1.36341,0.76517,1.85159,0.0014951,0.0014951,0.0014951
53,2355.93,1.13279,0.87633,1.47264,0.87564,0.89796,0.93452,0.61925,1.32802,0.68116,1.79674,0.0014852,0.0014852,0.0014852
54,2398.65,1.13123,0.88797,1.45176,0.93849,0.93414,0.97038,0.5917,1.47465,0.7457,1.93166,0.0014753,0.0014753,0.0014753
55,2441.49,1.12199,0.88174,1.4553,0.82549,0.96543,0.96099,0.5957,1.39887,0.68369,1.82529,0.0014654,0.0014654,0.0014654
